Date,IBM,AAPL,MSFT,INTC,HPQ
1996-05-22,20.731317,0.852174,4.993408,6.08801,7.011248
1996-05-23,20.520012,0.858305,5.062833,6.175137,6.953711
1996-05-24,20.426099,0.874654,5.062833,6.186024,6.970151
1996-05-28,20.332186,0.862392,5.009424,6.316715,6.920833
1996-05-29,20.073925,0.813346,5.004086,6.2187,6.912614
1996-05-30,20.14436,0.833782,5.052149,6.229588,6.961931
1996-05-31,20.050447,0.854218,5.073517,6.578096,7.003029
1996-06-03,19.792186,0.809259,5.057494,6.676111,6.929053
1996-06-04,19.886099,0.790867,5.036132,6.648885,7.109882
1996-06-05,19.698273,0.821521,5.164305,6.697899,6.970151
1996-06-06,19.017403,0.79291,5.118908,6.556315,6.863296
1996-06-07,19.111316,0.796998,5.180322,6.556315,6.97837
1996-06-10,19.275664,0.788823,5.153621,6.458293,6.929053
1996-06-11,19.369577,0.784736,5.217707,6.556315,6.994809
1996-06-12,19.346099,0.79291,5.340541,6.687005,6.764662
1996-06-13,19.393055,0.805172,5.324518,6.534533,6.64137
1996-06-14,19.087838,0.782692,5.255093,6.360279,6.526297
1996-06-17,19.252186,0.772475,5.324518,6.273152,6.525639
1996-06-18,19.017403,0.743864,5.228392,6.131573,6.435004
1996-06-19,19.181751,0.756126,5.20169,6.2187,6.385568
1996-06-20,18.92349,0.743864,5.20169,6.196912,6.278455
1996-06-21,18.524359,0.739777,5.292478,6.2187,6.311413
1996-06-24,18.712185,0.727516,5.303156,6.41337,6.467963
1996-06-25,18.735664,0.674383,5.212368,6.349391,6.319652
1996-06-26,18.524359,0.64986,5.148282,6.316715,6.270216
1996-06-27,18.571316,0.674383,5.124247,6.436518,6.517399
1996-06-28,18.594794,0.686644,5.132259,6.398399,6.566836
1996-07-01,19.064359,0.702993,5.225719,6.54542,6.698667
1996-07-02,18.78262,0.686644,5.196345,6.512751,6.426765
1996-07-03,18.500881,0.633511,5.174983,6.523645,6.2043
1996-07-05,18.383489,0.637598,5.057494,6.284039,6.072469
1996-07-08,18.477403,0.625337,5.14027,6.360279,6.006554
1996-07-09,18.594794,0.621249,5.12692,6.392955,5.742891
1996-07-10,18.571316,0.613075,5.105557,6.349391,5.866483
1996-07-11,18.031315,0.584465,4.891936,6.055334,5.166131
1996-07-12,17.902181,0.590596,4.801148,6.207806,5.149652
1996-07-15,17.068706,0.561985,4.726377,6.022658,5.042539
1996-07-16,17.984359,0.551768,4.929321,6.098897,5.487468
1996-07-17,17.679141,0.551768,5.004086,6.240476,5.668737
1996-07-18,17.702619,0.682557,5.121581,6.316715,5.76761
1996-07-19,17.608706,0.67847,5.168974,6.338497,5.668737
1996-07-22,17.373924,0.662121,5.116242,6.294933,5.701694
1996-07-23,16.951315,0.670295,4.790464,6.055334,5.405074
1996-07-24,17.233054,0.680513,4.90262,6.01177,5.751131
1996-07-25,19.46349,0.686644,5.062833,6.284039,5.76761
1996-07-26,19.510447,0.719341,5.089534,6.469188,5.817046
1996-07-29,19.674795,0.727516,4.993408,6.349391,5.6193
1996-07-30,20.167838,0.698906,5.068172,6.484531,5.751131
